"What is your present religion, if any?",,Do you attend religious services,"How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How often do you: Pray aloud before meals in the presence of people who don't belong to your religion,How often do you: Tell someone you'll pray for him or her,How often do you: Ask or offer to pray with someone,"How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
Roman Catholic,,Less than weekly,,Once a year or less,Once a year or less,A few times per month,Once a year or less,Once a month or less,Never,Never,Once a month or less,Never,60+,Female,"$0 to $9,999",West North Central
None of these,non-practicing Catholic,Never,Never,,Never,Once a year or less,Never,Never,Never,,Never,Never,60+,Female,Prefer not to answer,Mountain
Mormon,,Weekly or more,A few times per month,Never,A few times per month,Never,A few times per month,Once a year or less,Never,Once a month or less,Every day,A few times per month,18 - 29,Male,"$10,000 to $24,999",Mountain
Roman Catholic,,Less than weekly,A few times per week,Never,A few times per week,A few times per month,A few times per week,A few times per month,A few times per month,Not applicable to my religious beliefs,,Not applicable to my religious beliefs,60+,Female,"$25,000 to $49,999",East North Central
Orthodox Christian,,Never,Never,Never,Once a month or less,Once a year or less,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$0 to $9,999",Pacific
Protestant,,Never,Never,Never,Once a year or less,A few times per month,Never,Once a year or less,Never,Never,Never,Never,60+,Female,"$100,000 to $124,999",South Atlantic
None of these,Baptised,Weekly or more,Not applicable to my religious beliefs,Never,Never,Every day,A few times per month,Never,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,45 - 59,Male,"$0 to $9,999",South Atlantic
Roman Catholic,,Weekly or more,Every day,A few times per month,Every day,A few times per week,A few times per week,A few times per week,Never,Never,A few times per week,Never,60+,Female,"$25,000 to $49,999",West South Central
Protestant,,Less than weekly,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,60+,Female,Prefer not to answer,Middle Atlantic
None of these,Unitarian Universalist,Less than weekly,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,Never,60+,Female,"$25,000 to $49,999",Pacific
None of these,Polytheism ,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,Once a year or less,Never,A few times per month,A few times per month,Never,Never,Never,18 - 29,Male,"$10,000 to $24,999",Mountain
Protestant,,Weekly or more,A few times per month,Never,Never,A few times per week,A few times per week,A few times per month,A few times per month,Never,Every day,Once a year or less,60+,Female,Prefer not to answer,West South Central
